Farm,Year,Mgmt,Field,MF,Plot,Subsample,Depth Fraction,Core_Length,Lab,Tot_Wt,Plant_Wt,Rock_Wt,BD_pre,BD
ORG,2016,G,2,G2,A,1,30,15,ORG-G-2-A-1-30,1.49,0,197.35,1.063488061,1.06
ORG,2016,H,3,H3,A,3,30,15,ORG-H-3-A-3-30,1.54,0,216.29,1.089041722,1.09
ORG,2016,G,1,G1,B,2,30,15,ORG-G-1-B-2-30,1.79,0,420.5,1.126714037,1.13
WNF,2016,H,3,H3,C,1,30,15,WNF-H-3-C-1-30,1.39,0.71,2.29,1.14,1.14
FRF,2016,G,2,G2,B,2,30,15,FRF-G-2-B-2-30,1.83,0,409.72,1.17,1.17
FRF,2016,G,2,G2,A,3,30,15,FRF-G-2-A-3-30,2.19,0,762.07,1.17,1.17
ORG,2016,G,2,G2,B,3,30,15,ORG-G-2-B-3-30,1.64,0,208.58,1.177656814,1.18
ORG,2016,G,1,G1,A,1,30,15,ORG-G-1-A-1-30,1.81,0,356.73,1.19563323,1.2
FRF,2016,G,2,G2,C,1,30,15,FRF-G-2-C-1-30,1.75,0,287.89,1.2,1.2
WNF,2016,H,4,H4,C,1,30,15,WNF-H-4-C-1-30,1.47,0,2.77,1.21,1.21
FRF,2016,H,4,H4,B,3,30,15,FRF-H-4-B-3-30,2,0,520.28,1.22,1.22
FRF,2016,H,3,H3,C,4,30,17,FRF-H-3-C-4-30,1.85,0,167.61,1.22,1.22
FRF,2016,G,1,G1,B,4,30,15,FRF-G-1-B-4-30,1.58,5.55,86.01,1.22,1.22
FRF,2016,H,3,H3,B,5,30,13,FRF-H-3-B-5-30,1.91,0,618.31,1.23,1.23
FRF,2016,H,4,H4,A,1,30,15,FRF-H-4-A-1-30,1.79,0,299.31,1.23,1.23
FRF,2016,G,1,G1,A,1,30,15,FRF-G-1-A-1-30,1.98,3.79,484.01,1.23,1.23
FRF,2016,G,1,G1,B,3,30,15,FRF-G-1-B-3-30,1.67,4.32,162.67,1.24,1.24
WNF,2016,H,4,H4,B,2,30,15,WNF-H-4-B-2-30,1.51,3,0,1.24,1.24
FRF,2016,G,1,G1,A,3,30,15,FRF-G-1-A-3-30,1.73,8.13,209.98,1.24,1.24
ORG,2016,H,4,H4,B,3,30,15,ORG-H-4-B-3-30,1.93,0,416.85,1.24489766,1.24
FRF,2016,H,3,H3,C,1,30,15,FRF-H-3-C-1-30,1.66,2.15,143.06,1.25,1.25
FRF,2016,G,2,G2,C,4,30,15,FRF-G-2-C-4-30,1.56,0,41.01,1.25,1.25
ORG,2016,H,4,H4,B,2,30,15,ORG-H-4-B-2-30,1.78,0,256.83,1.253141307,1.25
FRF,2016,H,4,H4,B,4,30,15,FRF-H-4-B-4-30,1.7,0,171.02,1.26,1.26
ORG,2016,G,1,G1,B,1,30,15,ORG-G-1-B-1-30,1.88,0,348.34,1.260126193,1.26
ORG,2016,G,1,G1,A,2,30,15,ORG-G-1-A-2-30,1.95,0,404.2,1.271759444,1.27
FRF,2016,H,3,H3,B,1,30,15,FRF-H-3-B-1-30,1.66,0,113.47,1.27,1.27
FRF,2016,G,2,G2,A,5,30,14,FRF-G-2-A-5-30,1.7,0,254.83,1.27,1.27
ORG,2016,H,4,H4,B,5,30,15,ORG-H-4-B-5-30,2.1,0,549.76,1.275412317,1.28
FRF,2016,G,1,G1,B,1,30,15,FRF-G-1-B-1-30,1.79,6.16,232.65,1.28,1.28
FRF,2016,G,1,G1,A,5,30,15,FRF-G-1-A-5-30,1.72,2.95,162.5,1.28,1.28
FRF,2016,G,1,G1,B,2,30,15,FRF-G-1-B-2-30,1.67,8.24,101.62,1.28,1.28
ORG,2016,G,1,G1,B,3,30,15,ORG-G-1-B-3-30,1.9,0,338.35,1.284799544,1.28
ORG,2016,H,4,H4,C,3,30,15,ORG-H-4-C-3-30,1.74,0,175.61,1.287053795,1.29
FRF,2016,G,1,G1,A,4,30,15,FRF-G-1-A-4-30,1.71,4.26,140.29,1.29,1.29
FRF,2016,H,3,H3,C,2,30,15,FRF-H-3-C-2-30,1.64,0,68.59,1.29,1.29
FRF,2016,H,4,H4,A,4,30,15,FRF-H-4-A-4-30,1.72,0,131.56,1.31,1.31
FRF,2016,H,4,H4,A,5,30,14.5,FRF-H-4-A-5-30,1.64,0,90.51,1.32,1.32
FRF,2016,H,3,H3,C,5,30,15,FRF-H-3-C-5-30,1.78,0,168.89,1.33,1.33
ORG,2016,G,2,G2,C,3,30,15,ORG-G-2-C-3-30,1.84,0.7,226.1,1.327210722,1.33
FRF,2016,H,3,H3,A,4,30,15,FRF-H-3-A-4-30,1.69,0,70.81,1.33,1.33
FRF,2016,H,3,H3,A,3,30,15,FRF-H-3-A-3-30,1.72,0,90.73,1.34,1.34
FRF,2016,H,3,H3,B,3,30,7,FRF-H-3-B-3-30,1.21,0,448.85,1.34,1.34
WNF,2016,H,3,H3,A,1,30,15,WNF-H-3-A-1-30,1.64,0,0,1.35,1.35
WNF,2016,H,3,H3,C,5,30,15,WNF-H-3-C-5-30,1.73,0,88.06,1.35,1.35
FRF,2016,H,3,H3,C,3,30,15,FRF-H-3-C-3-30,1.82,0,176.29,1.35,1.35
ORG,2016,G,1,G1,A,5,30,15,ORG-G-1-A-5-30,1.92,0,273.75,1.354401594,1.35
ORG,2016,H,4,H4,C,2,30,15,ORG-H-4-C-2-30,1.88,0,224.65,1.361888339,1.36
